Player,For,Against,Result,Date,Ref
Sergio Agüero,Manchester City,Watford,6–0 (A),16 September 2017,[121]
Álvaro Morata,Chelsea,Stoke City,4–0 (A),23 September 2017,[122]
Callum Wilson,Bournemouth,Huddersfield Town,4–0 (H),18 November 2017,[123]
Wayne Rooney,Everton,West Ham United,4–0 (H),29 November 2017,[124]
Harry Kane,Tottenham Hotspur,Burnley,3–0 (A),23 December 2017,[125]
Harry Kane,Tottenham Hotspur,Southampton,5–2 (H),26 December 2017,[126]
Sergio Agüero,Manchester City,Newcastle United,3–1 (H),20 January 2018,[127]
Aaron Ramsey,Arsenal,Everton,5–1 (H),3 February 2018,[128]
Sergio Agüero4,Manchester City,Leicester City,5–1 (H),10 February 2018,[129]
Mohamed Salah4,Liverpool,Watford,5–0 (H),17 March 2018,[130]
