Player,For,Against,Result,Date
Robin van Persie,Manchester United,Southampton,3–2[57],2 September 2012
Luis Suárez,Liverpool,Norwich City,5–2[58],29 September 2012
Jordi Gómez,Wigan Athletic,Reading,3–2[59],24 November 2012
Santi Cazorla,Arsenal,Reading,5–2[60],17 December 2012
Gareth Bale,Tottenham Hotspur,Aston Villa,4–0[61],26 December 2012
Theo Walcott,Arsenal,Newcastle United,7–3[62],29 December 2012
Shinji Kagawa,Manchester United,Norwich City,4–0[63],2 March 2013
Luis Suárez,Liverpool,Wigan Athletic,4–0[64],2 March 2013
Robin van Persie,Manchester United,Aston Villa,3–0[65],22 April 2013
Christian Benteke,Aston Villa,Sunderland,6–1[66],29 April 2013
Daniel Sturridge,Liverpool,Fulham,3–1[67],12 May 2013
Kevin Nolan,West Ham United,Reading,4–2[68],19 May 2013
Romelu Lukaku,West Bromwich Albion,Manchester United,5–5[69],19 May 2013
