Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month,Reference
Month,Manager,Club,Player,Club,Reference
September,David Moyes,Everton,Steven Fletcher,Sunderland,[72]
October,Sir Alex Ferguson,Manchester United,Juan Mata,Chelsea,[73]
November,Steve Clarke,West Bromwich Albion,Marouane Fellaini,Everton,[74]
December,André Villas-Boas,Tottenham Hotspur,Robin van Persie,Manchester United,[75]
January,Brian McDermott,Reading,Adam Le Fondre,Reading,[76]
February,André Villas-Boas,Tottenham Hotspur,Gareth Bale,Tottenham Hotspur,[77]
March,David Moyes,Everton,Jan Vertonghen,Tottenham Hotspur,[78]
April,Rafael Benítez,Chelsea,Robin van Persie,Manchester United,[79]
