Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Thomas Vermaelen,Nike,Fly Emirates
Aston Villa,Paul Lambert,Ron Vlaar,Macron,Genting Casinos
Chelsea,Rafael Benítez,John Terry,Adidas,Samsung
Everton,David Moyes,Phil Neville,Nike,Chang Beer
Fulham,Martin Jol,Brede Hangeland,Kappa,FxPro
Liverpool,Brendan Rodgers,Steven Gerrard,Warrior Sports,Standard Chartered
Manchester City,Brian Kidd (caretaker),Vincent Kompany,Umbro,Etihad Airways
Manchester United,Sir Alex Ferguson,Nemanja Vidić,Nike,Aon
Newcastle United,Alan Pardew,Fabricio Coloccini,Puma,Virgin Money
Norwich City,Chris Hughton,Grant Holt,Erreà,Aviva
Queens Park Rangers,Harry Redknapp,Clint Hill,Lotto,AirAsia
Reading,Nigel Adkins,Jobi McAnuff,Puma,Waitrose
Southampton,Mauricio Pochettino,Adam Lallana,Umbro,aap3
Stoke City,Tony Pulis,Ryan Shawcross,Adidas,Bet365
Sunderland,Paolo Di Canio,Lee Cattermole,Adidas,Invest in Africa
Swansea City,Michael Laudrup,Garry Monk,Adidas,32Red
Tottenham Hotspur,André Villas-Boas,Michael Dawson,Under Armour,Aurasma
West Bromwich Albion,Steve Clarke,Chris Brunt,Adidas,Zoopla
West Ham United,Sam Allardyce,Kevin Nolan,Macron,SBOBET
Wigan Athletic,Roberto Martínez,Gary Caldwell,MiFit,12BET
