Team,Location,Stadium,Capacity
Arsenal,London (Highbury),Arsenal Stadium,38419
Aston Villa,Birmingham,Villa Park,42573
Blackburn Rovers,Blackburn,Ewood Park,31367
Charlton Athletic,London (Charlton),The Valley,20043
Chelsea,London (Fulham),Stamford Bridge,42055
Coventry City,Coventry,Highfield Road,23489
Derby County,Derby,Pride Park Stadium,33597
Everton,Liverpool (Walton),Goodison Park,40569
Leeds United,Leeds,Elland Road,40242
Leicester City,Leicester,Filbert Street,22000
Liverpool,Liverpool (Anfield),Anfield,45522
Manchester United,Manchester,Old Trafford,68174
Middlesbrough,Middlesbrough,Riverside Stadium,30000
Newcastle United,Newcastle upon Tyne,St James' Park,52387
Nottingham Forest,West Bridgford,City Ground,30445
Sheffield Wednesday,Sheffield,Hillsborough Stadium,39732
Southampton,Southampton,The Dell,15200
Tottenham Hotspur,London (Tottenham),White Hart Lane,36240
West Ham United,London (Upton Park),Boleyn Ground,35647
Wimbledon,London (Selhurst),Selhurst Park[a],26074
