Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month
Month,Manager,Club,Player,Club
August,Alan Curbishley,Charlton Athletic,Michael Owen,Liverpool
September,John Gregory,Aston Villa,Alan Shearer,Newcastle United
October,Martin O'Neill,Leicester City,Roy Keane,Manchester United
November,Harry Redknapp,West Ham United,Dion Dublin,Aston Villa
December,Brian Kidd,Blackburn Rovers[16],David Ginola,Tottenham Hotspur
January,Alex Ferguson,Manchester United,Dwight Yorke,Manchester United
February,Alan Curbishley,Charlton Athletic,Nicolas Anelka,Arsenal
March,David O'Leary,Leeds United,Ray Parlour,Arsenal
April,Alex Ferguson,Manchester United,Kevin Campbell,Everton
