Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Patrick Vieira,Nike,O2
Aston Villa,David O'Leary,Olof Mellberg,Diadora,Rover
Birmingham City,Steve Bruce,Kenny Cunningham,Le Coq Sportif,Flybe
Blackburn Rovers,Graeme Souness,Garry Flitcroft,Kappa,HSA
Bolton Wanderers,Sam Allardyce,Jay-Jay Okocha,Reebok,Reebok
Charlton Athletic,Alan Curbishley,Matt Holland,Joma,All:Sports
Chelsea,Claudio Ranieri,Marcel Desailly,Umbro,Fly Emirates
Everton,David Moyes,David Weir,Puma,Kejian
Fulham,Chris Coleman,Lee Clark,Puma,dabs.com
Leeds United,Kevin Blackwell,Dominic Matteo,Nike,Whyte and Mackay
Leicester City,Micky Adams,Matt Elliott,Le Coq Sportif,Alliance & Leicester
Liverpool,Gérard Houllier,Steven Gerrard,Reebok,Carlsberg
Manchester City,Kevin Keegan,Sylvain Distin,Reebok,First Advice
Manchester United,Sir Alex Ferguson,Roy Keane,Nike,Vodafone
Middlesbrough,Steve McClaren,Gareth Southgate,Erreà,Dial-a-Phone
Newcastle United,Sir Bobby Robson,Alan Shearer,Adidas,Northern Rock
Portsmouth,Harry Redknapp,Teddy Sheringham,Pompey Sport,ty
Southampton,Paul Sturrock,Claus Lundekvam,Saints,Friends Provident
Tottenham Hotspur,David Pleat (caretaker),Jamie Redknapp,Kappa,Thomson Holidays
Wolverhampton Wanderers,Dave Jones,Paul Ince,Admiral,Doritos
