#,Football club,Home games,Average attendance[31]
1,Manchester United,21,43677
2,Arsenal FC,21,35353
3,Newcastle United,21,34692
4,Liverpool FC,21,34225
5,Leeds United,21,32798
6,Everton FC,21,30894
7,Aston Villa,21,29756
8,Tottenham Hotspur,21,27259
9,Sheffield Wednesday,21,26568
10,Blackburn Rovers,21,25272
11,Nottingham Forest,21,23633
12,Manchester City,21,22655
13,Chelsea FC,21,21057
14,West Ham United,21,20223
15,Leicester City,21,19532
16,Norwich City,21,18625
17,Ipswich Town,21,16880
18,Coventry City,21,15979
19,Crystal Palace FC,21,14879
20,Southampton FC,21,14685
21,Queens Park Rangers,21,14637
22,Wimbledon FC,21,10207
