Team,Location,Stadium,Capacity
Arsenal,London (Highbury),Arsenal Stadium,38419
Aston Villa,Birmingham,Villa Park,39399
Blackburn Rovers,Blackburn,Ewood Park,31367
Chelsea,London (Fulham),Stamford Bridge,36000
Coventry City,Coventry,Highfield Road,23489
Derby County,Derby,Baseball Ground[a],18300
Everton,Liverpool (Walton),Goodison Park,40157
Leeds United,Leeds,Elland Road,40204
Leicester City,Leicester,Filbert Street,22000
Liverpool,Liverpool (Anfield),Anfield,42730
Manchester United,Manchester,Old Trafford,55314
Middlesbrough,Middlesbrough,Riverside Stadium,30000
Newcastle United,Newcastle upon Tyne,St James' Park,36649
Nottingham Forest,West Bridgford,City Ground,30539
Sheffield Wednesday,Sheffield,Hillsborough Stadium,39859
Southampton,Southampton,The Dell,15200
Sunderland,Sunderland,Roker Park,22500
Tottenham Hotspur,London (Tottenham),White Hart Lane,36230
West Ham United,London (Upton Park),Boleyn Ground,28000
Wimbledon,London (Selhurst),Selhurst Park[b],26309
