Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month
Month,Manager,Club,Player,Club
August,Kevin Keegan[27],Newcastle United,David Ginola[27],Newcastle United
September,Kevin Keegan[27],Newcastle United,Tony Yeboah[27],Leeds United
October,Frank Clark[27],Nottingham Forest,Trevor Sinclair[27],Queens Park Rangers
November,Alan Ball[27],Manchester City,Rob Lee[27],Newcastle United
December,Roy Evans[27],Liverpool,Robbie Fowler[27],Liverpool
January,Roy Evans[27],Liverpool,Stan Collymore[27],Liverpool
January,Roy Evans[27],Liverpool,Robbie Fowler[27],Liverpool
February,Alex Ferguson[27],Manchester United,Dwight Yorke[27],Aston Villa
March,Alex Ferguson[27],Manchester United,Eric Cantona[27],Manchester United
April,Dave Merrington[27],Southampton,Andrei Kanchelskis[27],Everton
