Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Bruce Rioch,Tony Adams,Nike,JVC
Aston Villa,Brian Little,Andy Townsend,Reebok,AST Research
Blackburn Rovers,Ray Harford,Tim Sherwood,Asics,CIS
Bolton Wanderers,Colin Todd,Alan Stubbs,Reebok,Reebok
Chelsea,Glenn Hoddle,Dennis Wise,Umbro,Coors
Coventry City,Ron Atkinson,Brian Borrows,Pony,Peugeot
Everton,Joe Royle,Dave Watson,Umbro,Danka
Leeds United,Howard Wilkinson,Gary McAllister,Asics,Thistle Hotels
Liverpool,Roy Evans,Ian Rush,Adidas,Carlsberg
Manchester City,Alan Ball,Keith Curle,Umbro,Brother
Manchester United,Alex Ferguson,Steve Bruce,Umbro,Sharp
Middlesbrough,Bryan Robson,Nigel Pearson,Erreà,Cellnet
Newcastle United,Kevin Keegan,Peter Beardsley,Adidas,Newcastle Brown Ale
Nottingham Forest,Frank Clark,Stuart Pearce,Umbro,Labatt's
Queens Park Rangers,Ray Wilkins,David Bardsley,View From,Compaq
Sheffield Wednesday,David Pleat,Peter Atherton,Puma,Sanderson
Southampton,Dave Merrington,Matt Le Tissier,Pony,Sanderson
Tottenham Hotspur,Gerry Francis,Gary Mabbutt,Pony,Hewlett-Packard
West Ham United,Harry Redknapp,Steve Potts,Pony,Dagenham Motors
Wimbledon,Joe Kinnear,Vinnie Jones,Core,Elonex
