Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month
Month,Manager,Club,Player,Club
August[50],Harry Redknapp,Tottenham Hotspur,Jermain Defoe,Tottenham Hotspur
September[51],Sir Alex Ferguson,Manchester United,Fernando Torres,Liverpool
October[52][53],Roy Hodgson,Fulham,Robin van Persie,Arsenal
November[54][55],Carlo Ancelotti,Chelsea,Jimmy Bullard,Hull City
December[56][57],Alex McLeish,Birmingham City,Carlos Tevez,Manchester City
January[58][59],David Moyes,Everton,Wayne Rooney,Manchester United
February[60],Roy Hodgson,Fulham,Mark Schwarzer,Fulham
March[61][62],David Moyes,Everton,Florent Malouda,Chelsea
April[63][64],Martin O'Neill,Aston Villa,Gareth Bale,Tottenham Hotspur
