Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Cesc Fàbregas,Nike,Emirates
Aston Villa,Martin O'Neill,Stiliyan Petrov,Nike,Acorns Children's Hospice
Birmingham City,Alex McLeish,Stephen Carr,Umbro,F&C Investments
Blackburn Rovers,Sam Allardyce,Ryan Nelsen,Umbro,Crown Paints
Bolton Wanderers,Owen Coyle,Kevin Davies,Reebok,188BET
Burnley,Brian Laws,Steven Caldwell,Erreà,Cooke Fuels
Chelsea,Carlo Ancelotti,John Terry,Adidas,Samsung
Everton,David Moyes,Phil Neville,Le Coq Sportif,Chang Beer
Fulham,Roy Hodgson,Danny Murphy,Nike,LG Electronics
Hull City,Iain Dowie*,Ian Ashbee,Umbro,Totesport.com
Liverpool,Rafael Benítez,Steven Gerrard,Adidas,Carlsberg
Manchester City,Roberto Mancini,Kolo Touré,Umbro,Etihad Airways
Manchester United,Sir Alex Ferguson,Gary Neville,Nike,AIG
Portsmouth,Avram Grant,David James,Canterbury,Jobsite
Stoke City,Tony Pulis,Abdoulaye Faye,Le Coq Sportif,Britannia
Sunderland,Steve Bruce,Lorik Cana,Umbro,Boylesports
Tottenham Hotspur,Harry Redknapp,Ledley King,Puma,Mansion
West Ham United,Gianfranco Zola,Matthew Upson,Umbro,SBOBET
Wigan Athletic,Roberto Martínez,Mario Melchiot,Vandanel,188BET
Wolverhampton Wanderers,Mick McCarthy,Karl Henry,Le Coq Sportif,Sportingbet
