#,Football club,Home games,Average attendance[70]
1,Manchester United,19,74864
2,Arsenal FC,19,59927
3,Manchester City,19,45513
4,Liverpool FC,19,42864
5,Chelsea FC,19,41423
6,Sunderland AFC,19,40355
7,Aston Villa,19,38573
8,Everton FC,19,36725
9,Tottenham Hotspur,19,35794
10,West Ham United,19,33683
11,Wolverhampton Wanderers,19,28366
12,Stoke City,19,27162
13,Blackburn Rovers,19,25428
14,Birmingham City,19,25246
15,Hull City,19,24390
16,Fulham FC,19,23909
17,Bolton Wanderers,19,21881
18,Burnley FC,19,20654
19,Portsmouth FC,19,18249
20,Wigan Athletic,19,18006
