Team,Location,Stadium,Capacity
Arsenal,London (Holloway),Emirates Stadium,60704
Aston Villa,Birmingham,Villa Park,42682
Brentford,London (Brentford),Brentford Community Stadium,17250
Brighton & Hove Albion,Falmer,Falmer Stadium,31800
Burnley,Burnley,Turf Moor,21944
Chelsea,London (Fulham),Stamford Bridge,40834
Crystal Palace,London (Selhurst),Selhurst Park,25486
Everton,Liverpool (Walton),Goodison Park,39414
Leeds United,Leeds,Elland Road,37792
Leicester City,Leicester,King Power Stadium,32312
Liverpool,Liverpool (Anfield),Anfield,53394
Manchester City,Manchester (Bradford),City of Manchester Stadium,53400
Manchester United,Manchester (Old Trafford),Old Trafford,74140
Newcastle United,Newcastle upon Tyne,St James' Park,52305
Norwich City,Norwich,Carrow Road,27244
Southampton,Southampton,St Mary's Stadium,32384
Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62850
Watford,Watford,Vicarage Road,22200
West Ham United,London (Stratford),London Stadium,60000
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,32050
