Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month,Reference
Month,Manager,Club,Player,Club,Reference
August,Manuel Pellegrini,Manchester City,André Ayew,Swansea City,[143]
September,Mauricio Pochettino,Tottenham Hotspur,Anthony Martial,Manchester United,[144]
October,Arsène Wenger,Arsenal,Jamie Vardy,Leicester City,[145]
November,Claudio Ranieri,Leicester City,Jamie Vardy,Leicester City,[146]
December,Quique Sánchez Flores,Watford,Odion Ighalo,Watford,[147]
January,Ronald Koeman,Southampton,Sergio Agüero,Manchester City,[148]
February,Mauricio Pochettino,Tottenham Hotspur,Fraser Forster,Southampton,[149]
March,Claudio Ranieri,Leicester City,Harry Kane,Tottenham Hotspur,[150]
April,Claudio Ranieri,Leicester City,Sergio Agüero,Manchester City,[151]
