#,Football club,Home games,Average attendance[106]
1,Manchester United,19,75335
2,Arsenal FC,19,59992
3,Newcastle United,19,50359
4,Manchester City,19,45365
5,Liverpool FC,19,44659
6,Sunderland AFC,19,43157
7,Chelsea FC,19,41546
8,Everton FC,19,38406
9,Tottenham Hotspur,19,35728
10,West Ham United,19,34871
11,Aston Villa,19,34133
12,Leicester City,19,31693
13,Southampton FC,19,30652
14,Stoke City,19,27081
15,West Bromwich Albion,19,25064
16,Crystal Palace,19,24421
17,Hull City,19,23557
18,Swansea City,19,20555
19,Burnley FC,19,19131
20,Queens Park Rangers,19,17809
