Team,Location,Stadium,Capacity[20]
Arsenal,London (Holloway),Emirates Stadium,60272
Aston Villa,Birmingham,Villa Park,42682
Burnley,Burnley,Turf Moor,21401
Chelsea,London (Fulham),Stamford Bridge,41798
Crystal Palace,London (Selhurst),Selhurst Park,25747
Everton,Liverpool (Walton),Goodison Park,39571
Hull City,Kingston upon Hull,KC Stadium,25400
Leicester City,Leicester,King Power Stadium,32312
Liverpool,Liverpool (Anfield),Anfield,45276
Manchester City,Manchester (Bradford),City of Manchester Stadium,46708
Manchester United,Manchester (Old Trafford),Old Trafford,75635
Newcastle United,Newcastle upon Tyne,St James' Park,52405
Queens Park Rangers,London (Shepherd's Bush),Loftus Road,18000
Southampton,Southampton,St Mary's Stadium,32505
Stoke City,Stoke-on-Trent,Britannia Stadium,27740
Sunderland,Sunderland,Stadium of Light,48707
Swansea City,Swansea,Liberty Stadium,20827
Tottenham Hotspur,London (Tottenham),White Hart Lane,36284
West Bromwich Albion,West Bromwich,The Hawthorns,26445
West Ham United,London (Upton Park),Boleyn Ground,35245
