Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month,Goal of the Month,Goal of the Month,References
Month,Manager,Club,Player,Club,Player,Club,References
August,Javi Gracia,Watford,Lucas Moura,Tottenham Hotspur,Jean Michaël Seri,Fulham,[131][132][133]
September,Nuno Espírito Santo,Wolverhampton Wanderers,Eden Hazard,Chelsea,Daniel Sturridge,Liverpool,[134][135][136]
October,Eddie Howe,Bournemouth,Pierre-Emerick Aubameyang,Arsenal,Aaron Ramsey,Arsenal,[137][138][139]
November,Rafael Benítez,Newcastle United,Raheem Sterling,Manchester City,Son Heung-min,Tottenham Hotspur,[140][141][142]
December,Jürgen Klopp,Liverpool,Virgil van Dijk,Liverpool,Andros Townsend,Crystal Palace,[143][144]
January,Ole Gunnar Solskjær,Manchester United,Marcus Rashford,Manchester United,André Schürrle,Fulham,[145][146][147]
February,Pep Guardiola,Manchester City,Sergio Agüero,Manchester City,Fabian Schär,Newcastle United,[148][149][150]
March,Jürgen Klopp,Liverpool,Sadio Mané,Liverpool,Anthony Knockaert,Brighton & Hove Albion,[151][152][153]
April,Pep Guardiola,Manchester City,Jamie Vardy,Leicester City,Eden Hazard,Chelsea,[154][155][156]
