Team,Location,Stadium,Capacity[28]
Arsenal,London (Holloway),Emirates Stadium,60704
Aston Villa,Birmingham,Villa Park,42918
Bournemouth,Bournemouth,Dean Court,11307
Brentford,London (Brentford),Brentford Community Stadium,17250
Brighton & Hove Albion,Falmer,Falmer Stadium,31876
Chelsea,London (Fulham),Stamford Bridge,40173
Crystal Palace,London (Selhurst),Selhurst Park,25194
Everton,Liverpool (Walton),Goodison Park,39414
Fulham,London (Fulham),Craven Cottage,24500
Ipswich Town,Ipswich,Portman Road,30056
Leicester City,Leicester,King Power Stadium,32259
Liverpool,Liverpool (Anfield),Anfield,61276
Manchester City,Manchester (Bradford),City of Manchester Stadium,52900
Manchester United,Manchester (Old Trafford),Old Trafford,74197
Newcastle United,Newcastle upon Tyne,St James' Park,52258
Nottingham Forest,West Bridgford,City Ground,30404
Southampton,Southampton,St Mary's Stadium,32384
Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62850
West Ham United,London (Stratford),London Stadium,62500
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,31750
