Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month
Month,Manager,Club,Player,Club
August[52],Gareth Southgate,Middlesbrough,Deco,Chelsea
September[53][54],Phil Brown,Hull City,Ashley Young,Aston Villa
October[55],Rafael Benítez,Liverpool,Frank Lampard,Chelsea
November[56],Gary Megson,Bolton Wanderers,Nicolas Anelka,Chelsea
December[57],Martin O'Neill,Aston Villa,Ashley Young,Aston Villa
January[58],Sir Alex Ferguson,Manchester United,Nemanja Vidić,Manchester United
February[59],David Moyes,Everton,Phil Jagielka,Everton
March[60],Rafael Benítez,Liverpool,Steven Gerrard,Liverpool
April[61],Sir Alex Ferguson,Manchester United,Andrey Arshavin,Arsenal
