Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Cesc Fàbregas,Nike,Fly Emirates
Aston Villa,Martin O'Neill,Martin Laursen,Nike,Acorns[10]
Blackburn Rovers,Sam Allardyce,Ryan Nelsen,Umbro,Crown Paints[11]
Bolton Wanderers,Gary Megson,Kevin Davies,Reebok,Reebok
Chelsea,Guus Hiddink,John Terry,Adidas,Samsung
Everton,David Moyes,Phil Neville,Umbro,Chang
Fulham,Roy Hodgson,Danny Murphy,Nike,LG
Hull City,Phil Brown,Ian Ashbee,Umbro,"Karoo (H) / Kingston Communications (A, 3rd)"
Liverpool,Rafael Benítez,Steven Gerrard,Adidas,Carlsberg
Manchester City,Mark Hughes,Richard Dunne,Le Coq Sportif,Thomas Cook
Manchester United,Sir Alex Ferguson,Gary Neville,Nike,AIG
Middlesbrough,Gareth Southgate,Emmanuel Pogatetz,Erreà,Garmin
Newcastle United,Alan Shearer,Nicky Butt,Adidas,Northern Rock
Portsmouth,Paul Hart,David James,Canterbury,Oki
Stoke City,Tony Pulis,Andy Griffin,Le Coq Sportif,Britannia
Sunderland,Ricky Sbragia,Dean Whitehead,Umbro,Boylesports
Tottenham Hotspur,Harry Redknapp,Ledley King,Puma,Mansion.com Casino & Poker
West Bromwich Albion,Tony Mowbray,Jonathan Greening,Umbro,
West Ham United,Gianfranco Zola,Matthew Upson,Umbro,XL Holidays[12] / SBOBET[13]
Wigan Athletic,Steve Bruce,Mario Melchiot,Champion,JJB Sports
