#,Football club,Home games,Average attendance[35]
1,Manchester United,21,44244
2,Liverpool FC,21,38503
3,Leeds United,21,34495
4,Newcastle United,21,33689
5,Arsenal FC,21,30564
6,Aston Villa,21,29015
7,Sheffield Wednesday,21,27191
8,Tottenham Hotspur,21,27160
9,Manchester City,21,26709
10,Everton FC,21,22868
11,West Ham United,21,20593
12,Sheffield United,21,19564
13,Chelsea FC,21,19416
14,Norwich City,21,18164
15,Blackburn Rovers,21,17690
16,Ipswich Town,21,16379
17,Swindon Town,21,15248
18,Southampton FC,21,14751
19,Queens Park Rangers,21,14228
20,Coventry City,21,13353
21,Oldham Athletic,21,12477
22,Wimbledon FC,21,10474
