Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Tony Adams,Nike,Dreamcast/Sega1
Aston Villa,Graham Taylor,Paul Merson,Diadora,NTL
Blackburn Rovers,Graeme Souness,Garry Flitcroft,Kappa,Time
Bolton Wanderers,Sam Allardyce,Guðni Bergsson,Reebok,Reebok
Charlton Athletic,Alan Curbishley,Mark Kinsella,Le Coq Sportif,Redbus
Chelsea,Claudio Ranieri,Marcel Desailly,Umbro,Fly Emirates
Derby County,John Gregory,Darryl Powell,Erreà,Pedigree
Everton,David Moyes,David Weir,Puma,One 2 One
Fulham,Jean Tigana,Andy Melville,Adidas,Pizza Hut
Ipswich Town,George Burley,Matt Holland,Punch,TXU Energi
Leeds United,David O'Leary,Rio Ferdinand,Nike,Strongbow
Leicester City,Micky Adams,Matt Elliott,Le Coq Sportif,LG
Liverpool,Gérard Houllier,Jamie Redknapp,Reebok,Carlsberg
Manchester United,Sir Alex Ferguson,Roy Keane,Umbro,Vodafone
Middlesbrough,Steve McClaren,Paul Ince,Erreà,BT Cellnet
Newcastle United,Bobby Robson,Alan Shearer,Adidas,NTL
Southampton,Gordon Strachan,Matt Le Tissier,Saints,Friends Provident
Sunderland,Peter Reid,Michael Gray,Nike,Reg Vardy
Tottenham Hotspur,Glenn Hoddle,Tim Sherwood,Adidas,Holsten
West Ham United,Glenn Roeder,Steve Lomas,Fila,Dr. Martens
