Team,Location,Stadium,Capacity
Arsenal,London (Highbury),Arsenal Stadium,38419
Aston Villa,Birmingham,Villa Park,42573
Blackburn Rovers,Blackburn,Ewood Park,31367
Bolton Wanderers,Bolton,Reebok Stadium,28723
Charlton Athletic,London (Charlton),The Valley,27111
Chelsea,London (Fulham),Stamford Bridge,42055
Derby County,Derby,Pride Park Stadium,33597
Everton,Liverpool (Walton),Goodison Park,40569
Fulham,London (Fulham),Craven Cottage,24600
Ipswich Town,Ipswich,Portman Road,30300
Leeds United,Leeds,Elland Road,40242
Leicester City,Leicester,Filbert Street[a],22000
Liverpool,Liverpool (Anfield),Anfield,45522
Manchester United,Manchester,Old Trafford,68174
Middlesbrough,Middlesbrough,Riverside Stadium,35049
Newcastle United,Newcastle upon Tyne,St James' Park,52387
Southampton,Southampton,St Mary's Stadium[b],32689
Sunderland,Sunderland,Stadium of Light,49000
Tottenham Hotspur,London (Tottenham),White Hart Lane,36240
West Ham United,London (Upton Park),Boleyn Ground,35647
