Player,For,Against,Result,Date,Ref
Romelu Lukaku,Everton,Sunderland,3–0 (A),12 September 2016,[103]
Alexis Sánchez,Arsenal,West Ham United,5–1 (A),3 December 2016,[104]
Jamie Vardy,Leicester City,Manchester City,4–2 (H),10 December 2016,[105]
Salomón Rondón,West Bromwich Albion,Swansea City,3–1 (H),14 December 2016,[106]
Andre Gray,Burnley,Sunderland,4–1 (H),31 December 2016,[107]
Harry Kane,Tottenham Hotspur,West Bromwich Albion,4–0 (H),14 January 2017,[108]
Romelu Lukaku4,Everton,Bournemouth,6–3 (H),4 February 2017,[109]
Harry Kane,Tottenham Hotspur,Stoke City,4–0 (H),26 February 2017,[110]
Joshua King,Bournemouth,West Ham United,3–2 (H),11 March 2017,[111]
Harry Kane4,Tottenham Hotspur,Leicester City,6–1 (A),18 May 2017,[112]
Harry Kane,Tottenham Hotspur,Hull City,7–1 (A),21 May 2017,[113]
