Team,Outgoing manager,Manner of departure,Date of vacancy,Position in table,Incoming manager,Date of appointment
Liverpool,Gérard Houllier,Mutual consent,24 May 2004[2],Pre-season,Rafael Benítez,16 June 2004[3]
Chelsea,Claudio Ranieri,Sacked,31 May 2004,Pre-season,José Mourinho,2 June 2004[4]
Tottenham Hotspur,David Pleat (caretaker),End of caretaker spell,1 June 2004,Pre-season,Jacques Santini,3 June 2004[5]
Southampton,Paul Sturrock,Mutual consent,23 August 2004[6],10th,Steve Wigley,23 August 2004
Newcastle United,Sir Bobby Robson,Sacked,30 August 2004[7],17th,Graeme Souness,6 September 2004[8]
Blackburn Rovers,Graeme Souness,Signed by Newcastle United,6 September 2004[8],19th,Mark Hughes,16 September 2004[9]
West Bromwich Albion,Gary Megson,Sacked,26 October 2004[10],16th,Bryan Robson,9 November 2004[11]
Tottenham Hotspur,Jacques Santini,Resigned,5 November 2004,11th,Martin Jol,8 November 2004[12]
Portsmouth,Harry Redknapp,Resigned,24 November 2004[13],12th,Velimir Zajec,21 December 2004[14]
Southampton,Steve Wigley,Sacked,8 December 2004,18th,Harry Redknapp,21 December 2004[15]
Manchester City,Kevin Keegan,Resigned,11 March 2005[16],12th,Stuart Pearce (caretaker),11 March 2005
Portsmouth,Velimir Zajec,Returned to director of football position,7 April 2005,16th,Alain Perrin,7 April 2005[17]
Manchester City,Stuart Pearce (caretaker),End of caretaker period,12 May 2005[18],8th,Stuart Pearce,12 May 2005
