Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Patrick Vieira,Nike,O2
Aston Villa,David O'Leary,Olof Mellberg,Hummel,DWS Investments
Birmingham City,Steve Bruce,Kenny Cunningham,Diadora,Flybe
Blackburn Rovers,Mark Hughes,Garry Flitcroft,Lonsdale,HSA
Bolton Wanderers,Sam Allardyce,Jay-Jay Okocha,Reebok,Reebok
Charlton Athletic,Alan Curbishley,Matt Holland,Joma,All:Sports
Chelsea,José Mourinho,John Terry,Umbro,Emirates
Crystal Palace,Iain Dowie,Michael Hughes,Diadora,Churchill
Everton,David Moyes,David Weir,Umbro,Chang
Fulham,Chris Coleman,Lee Clark,Puma,dabs.com
Liverpool,Rafael Benítez,Steven Gerrard,Reebok,Carlsberg
Manchester City,Stuart Pearce,Sylvain Distin,Reebok,Thomas Cook
Manchester United,Alex Ferguson,Roy Keane,Nike,Vodafone
Middlesbrough,Steve McClaren,Gareth Southgate,Erreà,888.com
Newcastle United,Graeme Souness,Alan Shearer,Adidas,Northern Rock
Norwich City,Nigel Worthington,Craig Fleming,Xara,Proton
Portsmouth,Alain Perrin,Arjan De Zeeuw,Pompey Sport,TY
Southampton,Harry Redknapp,Nigel Quashie,Saints,Friends Provident
Tottenham Hotspur,Martin Jol,Ledley King,Kappa,Thomson Holidays
West Bromwich Albion,Bryan Robson,Kevin Campbell,Diadora,T-Mobile
