Team,Location,Stadium,Capacity
Arsenal,London (Highbury),Arsenal Stadium[a],38419
Aston Villa,Birmingham (Aston),Villa Park,42553
Birmingham City,Birmingham (Bordesley),St Andrew's,30079
Blackburn Rovers,Blackburn,Ewood Park,31367
Bolton Wanderers,Bolton,Reebok Stadium,28723
Charlton Athletic,London (Charlton),The Valley,27111
Chelsea,London (Fulham),Stamford Bridge,42360
Everton,Liverpool (Walton),Goodison Park,40569
Fulham,London (Fulham),Craven Cottage,24600
Liverpool,Liverpool (Anfield),Anfield,45276
Manchester City,Manchester (Bradford),City of Manchester Stadium,48000
Manchester United,Manchester (Old Trafford),Old Trafford,68217
Middlesbrough,Middlesbrough,Riverside Stadium,35049
Newcastle United,Newcastle upon Tyne,St James' Park,52387
Portsmouth,Portsmouth,Fratton Park,20220
Sunderland,Sunderland,Stadium of Light,49000
Tottenham Hotspur,London (Tottenham),White Hart Lane,36240
West Bromwich Albion,West Bromwich,The Hawthorns,26484
West Ham United,London (Upton Park),Boleyn Ground,35146
Wigan Athletic,Wigan,JJB Stadium,25138
