Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Thierry Henry,Nike,O2
Aston Villa,David O'Leary,Olof Mellberg,Hummel,DWS Investments
Birmingham City,Steve Bruce,Kenny Cunningham,Lonsdale,Flybe
Blackburn Rovers,Mark Hughes,Ryan Nelsen,Lonsdale,Lonsdale
Bolton Wanderers,Sam Allardyce,Kevin Nolan,Reebok,Reebok
Charlton Athletic,Alan Curbishley,Matt Holland,Joma,All:Sports[6] Llanera
Chelsea,José Mourinho,John Terry,Umbro,Samsung Mobile
Everton,David Moyes,David Weir,Umbro,Chang
Fulham,Chris Coleman,Luís Boa Morte,Puma,Pipex
Liverpool,Rafael Benítez,Steven Gerrard,Reebok,Carlsberg
Manchester City,Stuart Pearce,Sylvain Distin,Reebok,Thomas Cook
Manchester United,Sir Alex Ferguson,Gary Neville,Nike,Vodafone
Middlesbrough,Steve McClaren,Gareth Southgate,Erreà,888.com
Newcastle United,Glenn Roeder,Alan Shearer,Adidas,Northern Rock
Portsmouth,Harry Redknapp,Dejan Stefanović,Jako,OKI Printing Solution
Sunderland,Kevin Ball (caretaker),Gary Breen,Lonsdale,Reg Vardy
Tottenham Hotspur,Martin Jol,Ledley King,Kappa,Thomson Holidays
West Bromwich Albion,Bryan Robson,Kevin Campbell,Diadora,T-Mobile
West Ham United,Alan Pardew,Nigel Reo-Coker,Reebok,JobServe
Wigan Athletic,Paul Jewell,Arjan de Zeeuw,JJB,JJB
