Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Patrick Vieira,Nike,O2
Aston Villa,Graham Taylor,Steve Staunton,Diadora,Rover Company
Birmingham City,Steve Bruce,Jeff Kenna,Le Coq Sportif,Phones4U
Blackburn Rovers,Graeme Souness,Garry Flitcroft,Kappa,AMD Processors
Bolton Wanderers,Sam Allardyce,Guðni Bergsson,Reebok,Reebok
Charlton Athletic,Alan Curbishley,Graham Stuart,Le Coq Sportif,All Sport
Chelsea,Claudio Ranieri,Marcel Desailly,Umbro,Fly Emirates
Everton,David Moyes,David Weir,Puma,Kejian
Fulham,Chris Coleman,Andy Melville,Adidas,Betfair
Leeds United,Peter Reid,Dominic Matteo,Nike,Strongbow
Liverpool,Gérard Houllier,Sami Hyypiä,Reebok,Carlsberg
Manchester City,Kevin Keegan,Ali Benarbia,Le Coq Sportif,First Advice
Manchester United,Sir Alex Ferguson,Roy Keane,Nike,Vodafone
Middlesbrough,Steve McClaren,Gareth Southgate,Erreà,Dial-a-Phone
Newcastle United,Sir Bobby Robson,Alan Shearer,Adidas,NTL
Southampton,Gordon Strachan,Jason Dodd,Saints,Friends Provident
Sunderland,Mick McCarthy,Michael Gray,Nike,Reg Vardy
Tottenham Hotspur,Glenn Hoddle,Teddy Sheringham,Kappa,Thomson
West Bromwich Albion,Gary Megson,Sean Gregan,The Baggies (by club),West Bromwich Building Society
West Ham United,Trevor Brooking (caretaker),Joe Cole,Fila,Dr. Martens
