Team,Location,Stadium,Capacity
Arsenal,London (Highbury),Arsenal Stadium,38419
Aston Villa,Birmingham (Aston),Villa Park,42573
Birmingham City,Birmingham (Bordesley),St Andrew's,30009
Blackburn Rovers,Blackburn,Ewood Park,31367
Bolton Wanderers,Bolton,Reebok Stadium,28723
Charlton Athletic,London (Charlton),The Valley,27111
Chelsea,London (Fulham),Stamford Bridge,42055
Everton,Liverpool (Walton),Goodison Park,40569
Fulham,London (Shepherd's Bush),Loftus Road[a],19148
Leeds United,Leeds,Elland Road,40242
Liverpool,Liverpool (Anfield),Anfield,45522
Manchester City,Manchester (Moss Side),Maine Road[b],35150
Manchester United,Manchester (Old Trafford),Old Trafford,68174
Middlesbrough,Middlesbrough,Riverside Stadium,35049
Newcastle United,Newcastle upon Tyne,St James' Park,52387
Southampton,Southampton,St Mary's Stadium,32689
Sunderland,Sunderland,Stadium of Light,49000
Tottenham Hotspur,London (Tottenham),White Hart Lane,36240
West Bromwich Albion,West Bromwich,The Hawthorns,28003
West Ham United,London (Upton Park),Boleyn Ground,35647
