Player,For,Against,Result,Date
Eric Cantona,Leeds United,Tottenham Hotspur,5–0 (H)[19],25 August 1992
Mark Robins,Norwich City,Oldham Athletic,3–2 (A)[20],8 November 1992
John Hendrie,Middlesbrough,Blackburn Rovers,3–2 (H)[21],5 December 1992
Andy Sinton,Queens Park Rangers,Everton,4–2 (H)[22],28 December 1992
Brian Deane,Sheffield United,Ipswich Town,3–0 (H)[23],17 January 1993
Teddy Sheringham,Tottenham Hotspur,Leeds United,4–0 (H)[24],22 February 1993
Gordon Strachan,Leeds United,Blackburn Rovers,5–2 (H)[25],10 April 1993
Les Ferdinand,Queens Park Rangers,Nottingham Forest,4–3 (H)[26],10 April 1993
Chris Bart-Williams,Sheffield Wednesday,Southampton,5–2 (H)[27],12 April 1993
Les Ferdinand,Queens Park Rangers,Everton,5–3 (A)[28],12 April 1993
Chris Sutton,Norwich City,Leeds United,4–2 (H)[29],14 April 1993
Mark Walters,Liverpool,Coventry City,4–0 (H)[30],17 April 1993
Rod Wallace,Leeds United,Coventry City,3–3 (A)[31],8 May 1993
Matt Le Tissier,Southampton,Oldham Athletic,3–4 (A)[32],8 May 1993
