Team,Location,Stadium,Capacity
Arsenal,London (Highbury),Highbury,38419
Aston Villa,Birmingham,Villa Park,39399
Blackburn Rovers,Blackburn,Ewood Park,31367
Chelsea,London (Fulham),Stamford Bridge,36000
Coventry City,Coventry,Highfield Road,23489
Crystal Palace,London (Selhurst),Selhurst Park,26309
Everton,Liverpool (Walton),Goodison Park,40157
Ipswich Town,Ipswich,Portman Road,30300
Leeds United,Leeds,Elland Road,40204
Liverpool,Liverpool (Anfield),Anfield,42730
Manchester City,Manchester (Moss Side),Maine Road,35150
Manchester United,Manchester (Old Trafford),Old Trafford,55314
Middlesbrough,Middlesbrough,Ayresome Park,26667
Norwich City,Norwich,Carrow Road,27010
Nottingham Forest,West Bridgford,City Ground,30539
Oldham Athletic,Oldham,Boundary Park,13512
Queens Park Rangers,London (Shepherd's Bush),Loftus Road,18439
Sheffield United,Sheffield (Highfield),Bramall Lane,32702
Sheffield Wednesday,Sheffield (Owlerton),Hillsborough Stadium,39859
Southampton,Southampton,The Dell,15200
Tottenham Hotspur,London (Tottenham),White Hart Lane,36230
Wimbledon,London (Selhurst),Selhurst Park[a],26309
