Player,For,Against,Result,Date
Didier Drogba,Chelsea,West Bromwich Albion,6–0,14 August 2010
Theo Walcott,Arsenal,Blackpool,6–0,21 August 2010
Andy Carroll,Newcastle United,Aston Villa,6–0,22 August 2010
Dimitar Berbatov,Manchester United,Liverpool,3–2,19 September 2010
Kevin Nolan,Newcastle United,Sunderland,5–1,31 October 2010
Dimitar Berbatov5,Manchester United,Blackburn Rovers,7–1,27 November 2010
Mario Balotelli,Manchester City,Aston Villa,4–0,28 December 2010
Leon Best,Newcastle United,West Ham United,5–0,5 January 2011
Dimitar Berbatov,Manchester United,Birmingham City,5–0,22 January 2011
Robin van Persie,Arsenal,Wigan Athletic,3–0,22 January 2011
Carlos Tevez,Manchester City,West Bromwich Albion,3–0,5 February 2011
Louis Saha4,Everton,Blackpool,5–3,5 February 2011
Dirk Kuyt,Liverpool,Manchester United,3–1,6 March 2011
Wayne Rooney,Manchester United,West Ham United,4–2,2 April 2011
Maxi Rodríguez,Liverpool,Birmingham City,5–0,23 April 2011
Maxi Rodríguez,Liverpool,Fulham,5–2,9 May 2011
Somen Tchoyi,West Bromwich Albion,Newcastle United,3–3,22 May 2011
