Team,Location,Stadium,Capacity[10]
Arsenal,London (Holloway),Emirates Stadium,60361
Aston Villa,Birmingham,Villa Park,42785
Blackburn Rovers,Blackburn,Ewood Park,31154
Bolton Wanderers,Bolton,Reebok Stadium,28100
Chelsea,London (Fulham),Stamford Bridge,42449
Everton,Liverpool (Walton),Goodison Park,40157
Fulham,London (Fulham),Craven Cottage,25700
Liverpool,Liverpool (Anfield),Anfield,45276
Manchester City,Manchester (Bradford),City of Manchester Stadium,47405
Manchester United,Manchester (Old Trafford),Old Trafford,75811
Newcastle United,Newcastle upon Tyne,St James' Park,52409
Norwich City,Norwich,Carrow Road,27183
Queens Park Rangers,London (Shepherd's Bush),Loftus Road,18439
Stoke City,Stoke-on-Trent,Britannia Stadium,27740
Sunderland,Sunderland,Stadium of Light,49000
Swansea City,Swansea,Liberty Stadium,20520
Tottenham Hotspur,London (Tottenham),White Hart Lane,36230
West Bromwich Albion,West Bromwich,The Hawthorns,27877
Wigan Athletic,Wigan,DW Stadium,25133
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,"27,828[a]"
