Team,Location,Stadium,Capacity
Arsenal,London (Holloway),Emirates Stadium[a],60600
Aston Villa,Birmingham,Villa Park,42553
Blackburn Rovers,Blackburn,Ewood Park,31367
Bolton Wanderers,Bolton,Reebok Stadium,28723
Charlton Athletic,London (Charlton),The Valley,27111
Chelsea,London (Fulham),Stamford Bridge,42360
Everton,Liverpool (Walton),Goodison Park,40569
Fulham,London (Fulham),Craven Cottage,24600
Liverpool,Liverpool (Anfield),Anfield,48677
Manchester City,Manchester (Bradford),City of Manchester Stadium,48000
Manchester United,Manchester (Old Trafford),Old Trafford,"76,212[b]"
Middlesbrough,Middlesbrough,Riverside Stadium,35049
Newcastle United,Newcastle upon Tyne,St James' Park,52387
Portsmouth,Portsmouth,Fratton Park,20220
Reading,Reading,Madejski Stadium[c],24250
Sheffield United,Sheffield,Bramall Lane,32609
Tottenham Hotspur,London (Tottenham),White Hart Lane,36240
Watford,Watford,Vicarage Road,19920
West Ham United,London (Upton Park),Boleyn Ground,35146
Wigan Athletic,Wigan,JJB Stadium,25138
