Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Thierry Henry,Nike,Fly Emirates
Aston Villa,Martin O'Neill,Gareth Barry,Hummel,32red.com
Blackburn Rovers,Mark Hughes,Ryan Nelsen,Lonsdale,bet24.com
Bolton Wanderers,Sammy Lee,Kevin Nolan,Reebok,Reebok
Charlton Athletic,Alan Pardew,Luke Young,Joma,Llanera
Chelsea,José Mourinho,John Terry,Adidas,Samsung Mobile
Everton,David Moyes,Phil Neville,Umbro,Chang
Fulham,Lawrie Sanchez,Brian McBride,Airness,Pipex
Liverpool,Rafael Benítez,Steven Gerrard,Adidas,Carlsberg
Manchester City,Stuart Pearce,Richard Dunne,Reebok,Thomas Cook
Manchester United,Sir Alex Ferguson,Gary Neville,Nike,AIG
Middlesbrough,Gareth Southgate,George Boateng,Erreà,888.com
Newcastle United,Nigel Pearson (caretaker),Scott Parker,Adidas,Northern Rock
Portsmouth,Harry Redknapp,Dejan Stefanović,Jako,Oki
Reading,Steve Coppell,Graeme Murty,Puma,Kyocera
Sheffield United,Neil Warnock,Chris Morgan,Le Coq Sportif,Capital One
Tottenham Hotspur,Martin Jol,Ledley King,Puma,Mansion.com
Watford,Aidy Boothroyd,Gavin Mahon,Diadora,loans.co.uk
West Ham United,Alan Curbishley,Nigel Reo-Coker,Reebok,Jobserve
Wigan Athletic,Paul Jewell,Arjan De Zeeuw,JJB,JJB
