#,Football club,Home games,Average attendance[24]
1,Manchester United,19,67490
2,Newcastle United,19,51309
3,Sunderland AFC,19,46791
4,Liverpool FC,19,43699
5,Leeds United,19,38974
6,Arsenal FC,19,37974
7,Tottenham Hotspur,19,35195
8,Chelsea FC,19,34700
9,Everton FC,19,34131
10,Manchester City,19,34058
11,Aston Villa,19,31597
12,Middlesbrough FC,19,30747
13,Derby County,19,28551
14,West Ham United,19,25697
15,Ipswich Town,19,22532
16,Coventry City,19,20582
17,Leicester City,19,20452
18,Charlton Athletic,19,20023
19,Bradford City,19,18511
20,Southampton FC,19,15115
