Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month
Month,Manager,Club,Player,Club
August,Bobby Robson,Newcastle United,Alan Smith,Leeds United
September,Peter Taylor,Leicester City,Tim Flowers,Leicester City
October,Arsène Wenger,Arsenal,Teddy Sheringham,Manchester United
November,George Burley,Ipswich Town,Paul Robinson,Leeds United
December,Peter Reid,Sunderland,James Beattie,Southampton
January,Terry Venables,Middlesbrough,Robbie Keane,Leeds United
February,Alex Ferguson,Manchester United,Stuart Pearce,West Ham United
March,David O'Leary,Leeds United,Steven Gerrard,Liverpool
April,David O'Leary,Leeds United,Gary McAllister,Liverpool
