Player,For,Against,Result,Date,Ref
Paulo Wanchope,Manchester City,Sunderland,4–2 (H),23 August 2000,[10]
Michael Owen,Liverpool,Aston Villa,3–1 (H),6 September 2000,[11]
Emile HeskeyP,Liverpool,Derby County,4–0 (A),15 October 2000,[12]
Jimmy Floyd Hasselbaink4,Chelsea,Coventry City,6–1 (H),21 October 2000,[13]
Teddy Sheringham,Manchester United,Southampton,5–0 (H),28 October 2000,[14]
Mark Viduka4,Leeds United,Liverpool,4–3 (H),4 November 2000,[15]
Les FerdinandP,Tottenham Hotspur,Leicester City,3–0 (H),25 November 2000,[16]
Ray Parlour,Arsenal,Newcastle United,5–0 (H),9 December 2000,[17]
Thierry Henry,Arsenal,Leicester City,6–1 (H),26 December 2000,[18]
Kevin Phillips,Sunderland,Bradford City,4–1 (A),26 December 2000,[18]
Dwight Yorke,Manchester United,Arsenal,6–1 (H),25 February 2001,[19]
Sylvain Wiltord,Arsenal,West Ham United,3–0 (H),3 March 2001,[20]
Marcus Stewart,Ipswich Town,Southampton,3–0 (A),2 April 2001,[21]
Michael Owen,Liverpool,Newcastle United,3–0 (H),5 May 2001,[22]
