Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month
Month,Manager,Club,Player,Club
August,Roy Hodgson,Blackburn Rovers,Dennis Bergkamp,Arsenal
September,Martin O'Neill,Leicester City,Dennis Bergkamp,Arsenal
October,Alex Ferguson,Manchester United,Paulo Wanchope,Derby County
November,George Graham,Leeds United,Andy Cole  Kevin Davies,Manchester United Southampton
December,Roy Hodgson,Blackburn Rovers,Steve McManaman,Liverpool
January,Howard Kendall,Everton,Dion Dublin,Coventry City
February,Gordon Strachan,Coventry City,Chris Sutton,Blackburn Rovers
March,Arsène Wenger,Arsenal,Alex Manninger,Arsenal
April,Arsène Wenger,Arsenal,Emmanuel Petit,Arsenal
