Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Arsenal (C),38,23,9,6,68,33,+35,78,Qualification for the Champions League group stage
2,Manchester United,38,23,8,7,73,26,+47,77,Qualification for the Champions League second qualifying round
3,Liverpool,38,18,11,9,68,42,+26,65,Qualification for the UEFA Cup first round
4,Chelsea,38,20,3,15,71,43,+28,63,Qualification for the Cup Winners' Cup first round[a]
5,Leeds United,38,17,8,13,57,46,+11,59,Qualification for the UEFA Cup first round[b]
6,Blackburn Rovers,38,16,10,12,57,52,+5,58,Qualification for the UEFA Cup first round[b]
7,Aston Villa,38,17,6,15,49,48,+1,57,Qualification for the UEFA Cup first round[b]
8,West Ham United,38,16,8,14,56,57,−1,56,
9,Derby County,38,16,7,15,52,49,+3,55,
10,Leicester City,38,13,14,11,51,41,+10,53,
11,Coventry City,38,12,16,10,46,44,+2,52,
12,Southampton,38,14,6,18,50,55,−5,48,
13,Newcastle United,38,11,11,16,35,44,−9,44,Qualification for the Cup Winners' Cup first round[c]
14,Tottenham Hotspur,38,11,11,16,44,56,−12,44,
15,Wimbledon,38,10,14,14,34,46,−12,44,
16,Sheffield Wednesday,38,12,8,18,52,67,−15,44,
17,Everton,38,9,13,16,41,56,−15,40,
18,Bolton Wanderers (R),38,9,13,16,41,61,−20,40,Relegation to the Football League First Division
19,Barnsley (R),38,10,5,23,37,82,−45,35,Relegation to the Football League First Division
20,Crystal Palace[d] (R),38,8,9,21,37,71,−34,33,Intertoto Cup third round and relegation to the First Division
