Team,Location,Stadium,Capacity
Arsenal,London (Highbury),Arsenal Stadium,38419
Aston Villa,Birmingham,Villa Park,42573
Barnsley,Barnsley,Oakwell,23287
Blackburn Rovers,Blackburn,Ewood Park,31367
Bolton Wanderers,Bolton,Reebok Stadium,28723
Chelsea,London (Fulham),Stamford Bridge,42055
Coventry City,Coventry,Highfield Road,23489
Crystal Palace,London (Selhurst),Selhurst Park,26074
Derby County,Derby,Pride Park Stadium[a],33597
Everton,Liverpool (Walton),Goodison Park,40569
Leeds United,Leeds,Elland Road,40242
Leicester City,Leicester,Filbert Street,22000
Liverpool,Liverpool (Anfield),Anfield,45522
Manchester United,Manchester,Old Trafford,55385
Newcastle United,Newcastle upon Tyne,St James' Park,52387
Sheffield Wednesday,Sheffield,Hillsborough Stadium,39732
Southampton,Southampton,The Dell,15200
Tottenham Hotspur,London (Tottenham),White Hart Lane,36240
West Ham United,London (Upton Park),Boleyn Ground,35647
Wimbledon,London (Selhurst),Selhurst Park[b],26074
