Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,William Gallas,Nike,Emirates
Aston Villa,Martin O'Neill,Gareth Barry,Nike,32red
Birmingham City,Alex McLeish,Damien Johnson,Umbro,F&C Investments
Blackburn Rovers,Mark Hughes,Ryan Nelsen,Umbro,Bet 24
Bolton Wanderers,Gary Megson,Kevin Davies,Reebok,Reebok
Chelsea,Avram Grant,John Terry,Adidas,Samsung Mobile
Derby County,Paul Jewell,Robbie Savage,Adidas,Derbyshire Building Society
Everton,David Moyes,Phil Neville,Umbro,Chang Beer
Fulham,Roy Hodgson,Brian McBride,Nike,LG
Liverpool,Rafael Benítez,Steven Gerrard,Adidas,Carlsberg
Manchester City,Sven-Göran Eriksson,Richard Dunne,Le Coq Sportif,Thomas Cook.com
Manchester United,Sir Alex Ferguson,Gary Neville,Nike,AIG
Middlesbrough,Gareth Southgate,George Boateng,Erreà,Garmin[9]
Newcastle United,Kevin Keegan,Nicky Butt,Adidas,Northern Rock
Portsmouth,Harry Redknapp,Sol Campbell,Canterbury,Oki
Reading,Steve Coppell,Graeme Murty,Puma,Kyocera
Sunderland,Roy Keane,Dean Whitehead,Umbro,boylesports.com
Tottenham Hotspur,Juande Ramos,Ledley King,Puma,Mansion Casino
West Ham United,Alan Curbishley,Lucas Neill,Umbro,XL Airways
Wigan Athletic,Steve Bruce,Mario Melchiot,Umbro,John Mills Limited
