#,Football club,Home games,Average attendance[214]
1,Manchester United,19,73534
2,West Ham United,19,62464
3,Tottenham Hotspur,19,61459
4,Arsenal FC,19,60236
5,Liverpool FC,19,55989
6,Manchester City,19,53075
7,Newcastle United,19,52150
8,Aston Villa,19,41858
9,Chelsea FC,19,39576
10,Everton FC,19,39042
11,Brighton & Hove Albion,19,31586
12,Wolverhampton Wanderers,19,31029
13,Sheffield United,19,30011
14,Nottingham Forest,19,29386
15,Crystal Palace,19,24932
16,Fulham FC,19,24301
17,Burnley FC,19,21184
18,Brentford FC,19,17082
19,Luton Town,19,11244
20,AFC Bournemouth,19,11103
