Team,Location,Stadium,Capacity[44]
Arsenal,London (Holloway),Emirates Stadium,"60,704[45]"
Aston Villa,Birmingham,Villa Park,42657
Bournemouth,Bournemouth,Dean Court,11307
Brentford,London (Brentford),Brentford Community Stadium,17250
Brighton & Hove Albion,Falmer,Falmer Stadium,31876
Burnley,Burnley,Turf Moor,"21,944[46]"
Chelsea,London (Fulham),Stamford Bridge,"40,173[47]"
Crystal Palace,London (Selhurst),Selhurst Park,25486
Everton,Liverpool (Walton),Goodison Park,39414
Fulham,London (Fulham),Craven Cottage,24500
Liverpool,Liverpool (Anfield),Anfield,61276
Luton Town,Luton,Kenilworth Road,"12,000[48]"
Manchester City,Manchester (Bradford),City of Manchester Stadium,53400
Manchester United,Manchester (Old Trafford),Old Trafford,74031
Newcastle United,Newcastle upon Tyne,St James' Park,52257
Nottingham Forest,West Bridgford,City Ground,30404
Sheffield United,Sheffield,Bramall Lane,32050
Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62850
West Ham United,London (Stratford),London Stadium,62500
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,31750
